,city,lat,lon,population
1650,Campina Grande,-7.2306,-35.8811,405072.0
1654,Maringá,-23.425,-51.9389,403063.0
1655,Carapicuíba,-23.5228,-46.8358,392294.0
1658,Jundiaí,-23.1864,-46.8842,401896.0
1685,Olinda,-8.0089,-34.855,389494.0
1689,Piracicaba,-22.7253,-47.6492,391449.0
1720,Pasto,1.21,-77.2747,382236.0
1725,Huancayo,-12.0667,-75.2167,378203.0
1727,Betim,-19.9678,-44.1978,378089.0
1732,Iquitos,-3.7333,-73.25,377609.0
1735,Cumaná,10.45,-64.1667,374706.0
1741,Bello,6.3319,-75.5581,371591.0
1748,La Florida,-33.55,-70.5667,366916.0
1762,Bauru,-22.3147,-49.0606,366992.0
1766,Anápolis,-16.3269,-48.9528,366491.0
1776,Blumenau,-26.9189,-49.0658,361855.0
1777,Montes Claros,-16.7322,-43.8636,361915.0
1789,Vitória,-20.3189,-40.3378,355875.0
1792,São Vicente,-23.9633,-46.3922,355542.0
1810,Itaquaquecetuba,-23.4864,-46.3486,352801.0
1813,Corrientes,-27.4833,-58.8167,352646.0
1814,Neiva,2.9275,-75.2875,353033.0
1820,Cabimas,10.4,-71.4333,351735.0
1832,Cariacica,-20.2639,-40.42,348738.0
1833,Palmira,3.5347,-76.2956,349294.0
1838,Antofagasta,-23.6464,-70.398,348517.0
1842,Caruaru,-8.2828,-35.9758,347088.0
1854,Vitória da Conquista,-14.8658,-40.8389,343230.0
1861,Franca,-20.5389,-47.4008,342112.0
1878,Petrolina,-9.3928,-40.5078,337683.0
1888,Viña del Mar,-33.0245,-71.5518,332875.0
1891,Cuenca,-2.8974,-79.0045,329928.0
1896,Ribeirão das Neves,-19.7669,-44.0869,331045.0
1925,Pelotas,-31.7719,-52.3428,328275.0
1937,Boa Vista,2.82,-60.6719,326419.0
1939,Canoas,-29.92,-51.18,323827.0
1942,Pucallpa,-8.3833,-74.55,326040.0
1946,Caucaia,-3.7328,-38.6558,325441.0
1948,Uberaba,-19.7478,-47.9319,325279.0
1961,Ciudad del Este,-25.5167,-54.6167,320782.0
1968,San Salvador de Jujuy,-24.1856,-65.2994,321789.0
1973,San Miguelito,9.033,-79.5,315019.0
2009,Guarujá,-23.9936,-46.2564,311230.0
2013,Zarzal,4.3942,-76.0703,312599.0
2024,Ponta Grossa,-25.095,-50.1619,311611.0
2039,Puerto La Cruz,10.2167,-64.6167,306261.0
2052,Paulista,-7.9408,-34.8728,300466.0
2054,Armenia,4.5389,-75.6725,301226.0
2057,San Bernardo,-33.6,-70.7167,301313.0
2059,Taubaté,-23.0333,-45.55,302331.0
2066,Popayán,2.4411,-76.6061,300837.0
2067,Praia Grande,-24.0058,-46.4028,299261.0
2075,Mérida,8.5833,-71.1333,300000.0
2081,Bahía Blanca,-38.7167,-62.2667,299101.0
2086,Petrópolis,-22.505,-43.1789,298142.0
2097,Valparaíso,-33.0458,-71.6197,296655.0
2099,Limeira,-22.5647,-47.4017,296440.0
2121,Santarém,-2.4428,-54.7078,292520.0
2124,Resistencia,-27.4514,-58.9867,291720.0
2126,Juliaca,-15.4908,-70.1269,291189.0
2128,Itagüí,6.1726,-75.6096,276744.0
2130,San Lorenzo,-25.3431,-57.5094,287977.0
2148,Punto Fijo,11.7167,-70.1833,287558.0
2149,Sincelejo,9.2994,-75.3958,286716.0
2153,Camaçari,-12.6978,-38.3239,286919.0
2154,San Cristóbal,7.7682,-72.2322,285872.0
2157,Suzano,-23.5428,-46.3108,285280.0
2161,Cascavel,-24.9558,-53.455,286205.0
2163,Tacna,-18.0556,-70.2483,286240.0
2168,Barinas,8.6226,-70.2075,284289.0
2169,Coro,11.395,-69.6816,284266.0
2175,Temuco,-38.7399,-72.5901,282415.0
2179,Ica,-14.0667,-75.7333,282407.0
2203,Governador Valadares,-18.8508,-41.9489,278363.0
2204,Taboão da Serra,-23.6019,-46.7528,272177.0
2216,Posadas,-27.3667,-55.8969,275988.0
2229,Crato,-7.4639,-63.04,273883.0
2233,Palmas,-10.2128,-48.3603,272726.0
2247,Santo Domingo de los Colorados,-0.2542,-79.1719,270875.0
2256,Floridablanca,7.0697,-73.0978,267170.0
2268,Sumaré,-22.8219,-47.2669,265955.0
2278,Marabá,-5.3689,-49.1178,266932.0
2281,Barueri,-23.5111,-46.8764,262275.0
2289,Oruro,-17.9667,-67.1167,264683.0
2292,São José dos Pinhais,-25.535,-49.2058,264210.0
2301,Volta Redonda,-22.5231,-44.1042,262970.0
2324,Mossoró,-5.1878,-37.3439,259815.0
2340,Foz do Iguaçu,-25.54,-54.5875,256088.0
2343,Gravataí,-29.9433,-50.9939,255660.0
2349,Turmero,10.2283,-67.4753,254880.0
2370,Várzea Grande,-15.65,-56.14,249752.0
2372,Las Condes,-33.4167,-70.5833,249893.0
2374,Santiago del Estero,-27.7844,-64.2669,252192.0
2381,Los Teques,10.3411,-67.0406,251200.0
2386,Juazeiro do Norte,-7.2128,-39.315,249939.0
2410,Paraná,-31.7444,-60.5175,247863.0
2413,Imperatriz,-5.5258,-47.4758,247505.0
2414,Oruro,-17.9799,-67.13,246501.0
2415,Merlo,-34.6653,-58.7275,244168.0
2433,Santa Maria,-29.6839,-53.8069,243611.0
2438,Baruta,10.4335,-66.8754,240755.0
2446,González Catán,-34.7708,-58.6464,238067.0
2448,Tarapoto,-6.4833,-76.3667,240453.0
2450,São Carlos,-22.0178,-47.8908,241389.0
2453,Ipatinga,-19.4678,-42.5369,239468.0
2462,Novo Hamburgo,-29.6778,-51.1308,238940.0
2470,Viamão,-30.0808,-51.0228,239384.0
2481,Quilmes,-34.7167,-58.2667,230810.0
2511,Macaé,-22.3708,-41.7869,234628.0
2513,Machala,-3.2667,-79.9667,231260.0
2520,Arapiraca,-9.75,-36.65,233047.0
2530,Rancagua,-34.1654,-70.7398,231370.0
2534,Marília,-22.2139,-49.9458,232006.0
2538,Eloy Alfaro,-2.1733,-79.8311,230839.0
2539,Indaiatuba,-23.0903,-47.2181,231033.0
2540,Envigado,6.1719,-75.5803,228848.0
2546,Neuquén,-38.9573,-68.0455,231198.0
2547,Banfield,-34.75,-58.3833,223898.0
2548,Americana,-22.7389,-47.3308,229322.0
2556,Cotia,-23.6039,-46.9189,229548.0
2561,Rondonópolis,-16.4708,-54.6358,228857.0
2568,Magé,-22.6528,-43.0408,227322.0
2575,Jacareí,-23.305,-45.9658,226539.0
2577,Araraquara,-21.7939,-48.1758,226508.0
2587,Itapevi,-23.5489,-46.9342,223404.0
2604,Chapecó,-27.0958,-52.6178,224013.0
2611,José C. Paz,-34.5167,-58.7667,216637.0
2613,Presidente Prudente,-22.1258,-51.3889,222192.0
2619,Formosa,-26.1847,-58.1758,222226.0
2630,San Felipe,10.3353,-68.7458,220786.0
2638,Juazeiro,-9.4139,-40.5028,220253.0
2640,Itabuna,-14.7858,-39.28,219680.0
2645,Tuluá,4.0847,-76.1986,219138.0
2647,Hortolândia,-22.8583,-47.22,215819.0
2651,Manta,-0.95,-80.7162,217553.0
2657,Concepción,-36.8271,-73.0503,217537.0
2658,Itaboraí,-22.7475,-42.8558,218008.0
2675,São Leopoldo,-29.76,-51.1469,214087.0
2680,Cúa,10.1667,-66.8833,214823.0
2689,La Victoria,10.2278,-67.3336,214492.0
2697,Sete Lagoas,-19.4658,-44.2469,214152.0
